gene_id	ERR2955747	ERR2955748	ERR2955749	ERR2955750	ERR2955751	ERR2955752
ECs_0001	2003	1870	2218	6917	9481	15122
ECs_0002	3194	2518	3176	24294	22806	43887
ECs_0003	1088	984	1233	7509	8205	12268
ECs_0004	1856	1893	2504	15982	18122	25511
ECs_0005	400	404	572	971	915	1115
ECs_0006	2765	2444	2881	5485	6322	6394
ECs_0007	572	469	536	1051	923	1476
ECs_0008	32777	30094	31448	34113	42610	51167
ECs_0009	2123	2035	2575	1741	1802	2542
ECs_0010	6930	6616	8355	3340	3834	6407
ECs_0012	110	116	119	128	150	206
ECs_0013	66	84	74	120	105	171
ECs_0014	33398	32033	34617	107019	115118	168329
ECs_0015	10265	10657	12952	23104	19368	27434
ECs_0016	5752	5475	6585	7212	8623	11847
ECs_0017	12391	10484	13440	20273	21278	33220
ECs_0018	4423	3707	4709	6896	6871	11204
ECs_0022	179	156	191	176	192	255
ECs_0023	46	40	27	31	30	52
ECs_0024	115	117	122	46	70	92
ECs_0025	153	169	149	41	71	103
ECs_0026	140815	134359	166197	66469	73273	113231
ECs_0028	12842	11245	13579	11520	13749	16952
ECs_0029	36353	34802	42927	43981	45955	54253
ECs_0030	4666	4567	5473	5305	5566	6309
ECs_0031	3273	3602	4022	4412	4443	5088
ECs_0032	5360	4832	5661	5585	5297	7197
ECs_0033	1272	1184	1562	1380	1285	1815
ECs_0034	957	754	769	1888	1200	3107
ECs_0035	1102	1096	1158	59243	55722	99077
ECs_0036	2198	2333	2648	136481	112112	175489
ECs_5362	7	9	8	504	453	1042
ECs_0037	170	136	190	2433	2289	4880
ECs_0038	83	68	81	373	365	724
ECs_0039	33	36	22	34	16	62
ECs_0040	383	392	393	547	536	861
ECs_0041	457	413	391	422	409	665
ECs_0042	561	492	665	462	431	554
ECs_0043	48	17	30	50	35	102
ECs_0044	69	84	114	86	91	138
ECs_0045	86	87	88	141	124	198
ECs_0046	90	78	91	116	108	158
ECs_0047	9	10	14	18	11	22
ECs_0048	171	109	125	292	247	394
ECs_0049	117	142	204	773	596	600
ECs_0050	811	727	890	2555	2305	3442
ECs_0051	18161	16555	14856	7526	7924	12000
ECs_0052	6071	5578	5252	2874	3089	4830
ECs_0053	3034	2969	2732	1829	1995	2750
ECs_0054	5767	6054	7302	8566	7853	9513
ECs_0055	4925	4583	5091	6914	8264	10147
ECs_0056	11655	10675	13052	14762	16530	21133
ECs_0057	7342	7187	8641	10765	11093	13626
ECs_0058	24326	23255	28826	34730	37009	48464
ECs_0059	35825	31811	38139	48376	56891	79056
ECs_0060	2525	2252	2825	2214	2359	3320
ECs_0061	939	738	958	588	615	899
ECs_0062	6407	6400	7839	2896	2745	3861
ECs_0063	28632	27500	33720	11954	11767	16943
ECs_0064	2276	2071	2465	3512	3506	4169
ECs_0065	137	167	228	246	259	275
ECs_0066	401	412	469	503	491	633
ECs_0067	129	143	259	240	230	268
ECs_0068	278	256	292	853	962	1256
ECs_0069	2322	2009	2462	3143	2828	3767
ECs_0070	878	1079	1638	1386	1067	995
ECs_0071	1270	1518	2455	2051	1549	1425
ECs_0072	5789	5338	6460	7102	7324	9955
ECs_0073	341	185	210	228	217	385
ECs_0074	1323	1365	1756	2211	2431	2588
ECs_0075	987	835	1188	3388	4350	6462
ECs_0076	993	984	1716	5142	4818	7259
ECs_0077	1097	1123	1817	5414	5937	7841
ECs_0078	1696	1550	2655	7048	7346	11497
ECs_0079	81	98	122	340	398	871
ECs_0080	103	110	155	111	161	209
ECs_0081	1509	947	1216	4762	3439	7854
ECs_0082	443	328	450	1672	1727	2799
ECs_0083	46	50	57	81	109	165
ECs_0084	3043	2476	2995	4812	4764	7807
ECs_0085	9258	7850	9220	5183	5413	8057
ECs_0086	12459	11882	13916	9283	9640	12898
ECs_0087	3010	2589	3117	2145	2360	3485
ECs_0088	6428	5973	7406	5648	6377	8796
ECs_0089	5457	4788	5900	5880	4800	7149
ECs_0090	5260	4873	5888	5569	4672	6663
ECs_0091	3750	2408	2580	3028	2242	4769
ECs_0092	3617	2789	3046	3479	2464	4549
ECs_0093	6101	4395	5001	4093	3961	6798
ECs_0094	5208	4740	5135	4591	4018	5977
ECs_0095	7486	6086	6662	6599	5334	8845
ECs_0096	6140	4895	5501	5948	6250	9214
ECs_0097	5813	4778	5274	5933	6297	8806
ECs_0098	5866	4349	4641	6414	5016	9677
ECs_0099	20065	14640	15539	28723	17972	42808
ECs_0100	104001	93994	108512	69400	82265	106201
ECs_0101	4661	5107	6620	4680	5146	5356
ECs_0102	26528	23616	28568	28410	33942	40356
ECs_0103	1326	1249	1566	1285	1466	1951
ECs_0105	1270	1114	1202	914	1111	1435
ECs_0106	3166	2685	3200	2607	2705	3893
ECs_0107	1766	1697	1795	1370	1607	1848
ECs_0108	5741	5509	6081	9522	10559	13628
ECs_0110	750	744	804	936	1161	1365
ECs_0111	705	714	801	696	765	958
ECs_0112	66	73	111	72	103	123
ECs_0113	3559	3191	3955	5461	6451	8204
ECs_0114	852	788	960	1864	1701	2343
ECs_0115	1404	1097	1320	2733	2507	4139
ECs_0116	2036	1802	2227	19233	21055	27431
ECs_0117	43074	39537	49782	15617	19059	23924
ECs_0118	228455	196185	245325	81939	87983	119285
ECs_0119	113634	103335	131958	37404	33759	47795
ECs_0120	77004	61572	72290	57172	60118	84295
ECs_0121	1584	1382	1509	1392	1387	1844
ECs_0122	27364	27637	28026	64067	62033	85098
ECs_0123	941	726	798	1030	876	1647
ECs_0124	12915	11334	12165	10877	10192	19045
ECs_0125	21802	17978	20041	16021	14096	26352
ECs_0126	3562	3503	4053	4415	5219	7212
ECs_0127	1133	957	1126	7500	5336	8534
ECs_0128	23625	17174	16664	7285	6632	9100
ECs_0129	11768	9752	11102	7805	8293	11630
ECs_0130	23447	21130	26109	30734	38539	51694
ECs_0131	3938	3151	3299	4186	3797	6253
ECs_0132	2792	2090	2153	2848	2630	4436
ECs_0133	692	483	598	631	597	994
ECs_0134	2693	2346	2670	2334	2504	3474
ECs_0135	5770	5305	6341	7398	8991	11726
ECs_0136	499	384	442	487	582	912
ECs_0137	11402	11545	14106	18815	20394	23777
ECs_0138	4585	4502	5163	6191	7318	9252
ECs_0139	4058	3756	4306	3126	3984	5198
ECs_0140	344	269	313	320	342	401
ECs_0141	1144	1064	1132	1102	1294	1632
ECs_0142	399	391	454	394	417	449
