# Program:featureCounts v1.5.3; Command:"featureCounts" "-a" "/data/home/ecumunel/M2_internship/rnaseq_data/annotation/GCF_000008865.2_ASM886v2_genomic.gff" "-t" "gene" "-g" "locus_tag" "-o" "/data/home/ecumunel/M2_internship/rnaseq_data/featureCounts_results/trimmed_ERR2955748.tsv" "/data/home/ecumunel/M2_internship/rnaseq_data/bowtie_results/trimmed_ERR2955748.sam" 
Geneid	Chr	Start	End	Strand	Length	/data/home/ecumunel/M2_internship/rnaseq_data/bowtie_results/trimmed_ERR2955748.sam
ECs_0001	NC_002695.2	190	273	+	84	9481
ECs_0002	NC_002695.2	354	2816	+	2463	22806
ECs_0003	NC_002695.2	2818	3750	+	933	8205
ECs_0004	NC_002695.2	3751	5037	+	1287	18122
ECs_0005	NC_002695.2	5251	5547	+	297	915
ECs_0006	NC_002695.2	5700	6476	-	777	6322
ECs_0007	NC_002695.2	6546	7976	-	1431	923
ECs_0008	NC_002695.2	8255	9208	+	954	42610
ECs_0009	NC_002695.2	9323	9910	+	588	1802
ECs_0010	NC_002695.2	9945	10511	-	567	3834
ECs_0012	NC_002695.2	10660	11373	-	714	150
ECs_0013	NC_002695.2	11399	11803	-	405	105
ECs_0014	NC_002695.2	12180	14096	+	1917	115118
ECs_0015	NC_002695.2	14185	15315	+	1131	19368
ECs_0016	NC_002695.2	15419	15628	-	210	8623
ECs_0017	NC_002695.2	16157	17323	+	1167	21278
ECs_0018	NC_002695.2	17389	18288	+	900	6871
ECs_0022	NC_002695.2	19299	21749	-	2451	192
ECs_0023	NC_002695.2	21762	22445	-	684	30
ECs_0024	NC_002695.2	22495	23028	-	534	70
ECs_0025	NC_002695.2	23330	24751	-	1422	71
ECs_0026	NC_002695.2	25221	25484	-	264	73273
ECs_0028	NC_002695.2	25819	26760	+	942	13749
ECs_0029	NC_002695.2	26803	29619	+	2817	45955
ECs_0030	NC_002695.2	29619	30113	+	495	5566
ECs_0031	NC_002695.2	30201	30650	+	450	4443
ECs_0032	NC_002695.2	30652	31602	+	951	5297
ECs_0033	NC_002695.2	31668	32582	+	915	1285
ECs_0034	NC_002695.2	32749	33570	+	822	1200
ECs_0035	NC_002695.2	34026	35174	+	1149	55722
ECs_0036	NC_002695.2	35192	38413	+	3222	112112
ECs_5362	NC_002695.2	38421	38639	-	219	453
ECs_0037	NC_002695.2	38674	39069	+	396	2289
ECs_0038	NC_002695.2	39188	39778	-	591	365
ECs_0039	NC_002695.2	39784	40569	-	786	16
ECs_0040	NC_002695.2	40678	42231	-	1554	536
ECs_0041	NC_002695.2	42305	43522	-	1218	409
ECs_0042	NC_002695.2	43651	44793	-	1143	431
ECs_0043	NC_002695.2	44824	46338	-	1515	35
ECs_0044	NC_002695.2	46817	47587	+	771	91
ECs_0045	NC_002695.2	47602	48543	+	942	124
ECs_0046	NC_002695.2	48594	49880	+	1287	108
ECs_0047	NC_002695.2	49877	50164	+	288	11
ECs_0048	NC_002695.2	50222	51553	+	1332	247
ECs_0049	NC_002695.2	51661	52191	+	531	596
ECs_0050	NC_002695.2	52184	54046	+	1863	2305
ECs_0051	NC_002695.2	54127	54717	+	591	7924
ECs_0052	NC_002695.2	54803	55036	+	234	3089
ECs_0053	NC_002695.2	55039	55353	+	315	1995
ECs_0054	NC_002695.2	55350	56198	-	849	7853
ECs_0055	NC_002695.2	56205	56582	-	378	8264
ECs_0056	NC_002695.2	56585	57406	-	822	16530
ECs_0057	NC_002695.2	57403	58392	-	990	11093
ECs_0058	NC_002695.2	58392	59678	-	1287	37009
ECs_0059	NC_002695.2	59731	62085	-	2355	56891
ECs_0060	NC_002695.2	62340	63155	+	816	2359
ECs_0061	NC_002695.2	63450	64202	+	753	615
ECs_0062	NC_002695.2	64620	65279	-	660	2745
ECs_0063	NC_002695.2	65291	68197	-	2907	11767
ECs_0064	NC_002695.2	68361	70712	-	2352	3506
ECs_0065	NC_002695.2	70787	71482	-	696	259
ECs_0066	NC_002695.2	71682	73184	-	1503	491
ECs_0067	NC_002695.2	73195	74895	-	1701	230
ECs_0068	NC_002695.2	75234	76112	+	879	962
ECs_0069	NC_002695.2	76198	76962	+	765	2828
ECs_0070	NC_002695.2	77049	77747	-	699	1067
ECs_0071	NC_002695.2	77731	79341	-	1611	1549
ECs_0072	NC_002695.2	79317	80300	-	984	7324
ECs_0073	NC_002695.2	80672	81241	+	570	217
ECs_0074	NC_002695.2	81470	83128	-	1659	2431
ECs_0075	NC_002695.2	83456	84061	-	606	4350
ECs_0076	NC_002695.2	84072	85472	-	1401	4818
ECs_0077	NC_002695.2	85475	86566	-	1092	5937
ECs_0078	NC_002695.2	86566	88137	-	1572	7346
ECs_0079	NC_002695.2	88230	88316	-	87	398
ECs_0080	NC_002695.2	88974	89918	+	945	161
ECs_0081	NC_002695.2	90236	91960	+	1725	3439
ECs_0082	NC_002695.2	91963	92454	+	492	1727
ECs_0083	NC_002695.2	92466	92552	+	87	109
ECs_0084	NC_002695.2	92634	93638	+	1005	4764
ECs_0085	NC_002695.2	94240	94698	+	459	5413
ECs_0086	NC_002695.2	94700	95641	+	942	9640
ECs_0087	NC_002695.2	95638	96003	+	366	2360
ECs_0088	NC_002695.2	96019	97785	+	1767	6377
ECs_0089	NC_002695.2	97772	99259	+	1488	4800
ECs_0090	NC_002695.2	99256	100614	+	1359	4672
ECs_0091	NC_002695.2	100608	101690	+	1083	2242
ECs_0092	NC_002695.2	101693	103009	+	1317	2464
ECs_0093	NC_002695.2	103009	104253	+	1245	3961
ECs_0094	NC_002695.2	104250	105317	+	1068	4018
ECs_0095	NC_002695.2	105371	106846	+	1476	5334
ECs_0096	NC_002695.2	106839	107759	+	921	6250
ECs_0097	NC_002695.2	107761	108591	+	831	6297
ECs_0098	NC_002695.2	108588	109850	+	1263	5016
ECs_0099	NC_002695.2	109911	111062	+	1152	17972
ECs_0100	NC_002695.2	111163	112080	+	918	82265
ECs_0101	NC_002695.2	112311	112823	+	513	5146
ECs_0102	NC_002695.2	112885	115590	+	2706	33942
ECs_0103	NC_002695.2	115650	116048	+	399	1466
ECs_0105	NC_002695.2	116139	116336	-	198	1111
ECs_0106	NC_002695.2	116346	117089	-	744	2705
