"query.name" "subject" "SystematicName"
"1" "A_07_P000003" "ECs3937" "b3054"
"2" "A_07_P000008" "ECs3938" "b3055"
"3" "A_07_P000015" "ECs3939" "b3056"
"4" "A_07_P000016" "ECs3940" "b3057"
"5" "A_07_P000021" "ECs3941" "b3058"
"6" "A_07_P000026" "ECs3942" "b3059"
"7" "A_07_P000033" "ECs3943" "b3060"
"8" "A_07_P000036" "ECs3944" "b3061"
"9" "A_07_P000043" "ECs3945" "b3062"
"10" "A_07_P000047" "ECs3946" "b3063"
"11" "A_07_P000051" "ECs3947" "b3064"
"12" "A_07_P000059" "ECs3948" "b3065"
"13" "A_07_P000065" "ECs3949" "b3066"
"14" "A_07_P000070" "ECs3950" "b3067"
"15" "A_07_P000074" "ECs3951" "b3068"
"16" "A_07_P000079" "ECs3952" "b3070"
"17" "A_07_P000083" "ECs3953" "b3071"
"18" "A_07_P000086" "ECs3954" "b3072"
"19" "A_07_P000092" "ECs3955" "b3073"
"20" "A_07_P000096" "ECs3956" "b3074"
"21" "A_07_P000102" "ECs3957" "b3075"
"22" "A_07_P000106" "ECs3958" "b3076"
"23" "A_07_P000114" "ECs3959" "b3077"
"24" "A_07_P000117" "ECs3960" "b3078"
"25" "A_07_P000124" "ECs3961" "b3079"
"26" "A_07_P000129" "ECs3962" "b3080"
"27" "A_07_P000131" "ECs3963" "b3081"
"28" "A_07_P000138" "ECs3964" "b3082"
"29" "A_07_P000142" "ECs3965" "b3083"
"30" "A_07_P000149" "ECs3966" "b3084"
"31" "A_07_P000154" "ECs3967" "b3085"
"32" "A_07_P000160" "ECs3968" "b3086"
"33" "A_07_P000165" "ECs3969" "b3087"
"34" "A_07_P000170" "ECs3970" "b3088"
"35" "A_07_P000173" "ECs3971" "b3089"
"36" "A_07_P000176" "ECs3972" "b3090"
"37" "A_07_P000185" "ECs3973" "b3091"
"38" "A_07_P000188" "ECs3974" "b3092"
"39" "A_07_P000192" "ECs3975" "b3093"
"40" "A_07_P000199" "ECs3976" "b3094"
"41" "A_07_P000202" "ECs3977" "b3095"
"42" "A_07_P000206" "ECs3978" "b3096"
"43" "A_07_P000212" "ECs3979" "b3097"
"44" "A_07_P000219" "ECs3980" "b3098"
"45" "A_07_P000224" "ECs3981" "b3099"
"46" "A_07_P000229" "ECs3982" "b3100"
"47" "A_07_P000235" "ECs3983" "b3101"
"48" "A_07_P000240" "ECs3984" "b3102"
"49" "A_07_P000243" "ECs3985" "b3103"
"50" "A_07_P000250" "ECs3986" "b3104"
"51" "A_07_P000254" "ECs3987" "b3105"
"52" "A_07_P000257" "ECs3988" "b3106"
"53" "A_07_P000264" "ECs3989" "b3107"
"54" "A_07_P000269" "ECs3990" "b3108"
"55" "A_07_P000272" "ECs3990" "b3109"
"56" "A_07_P000276" "ECs3991" "b3110"
"57" "A_07_P000282" "ECs3992" "b3111"
"58" "A_07_P000290" "ECs3992" "b3112"
"59" "A_07_P000294" "ECs3993" "b3113"
"60" "A_07_P000296" "ECs3994" "b3114"
"61" "A_07_P000306" "ECs3996" "b3116"
"62" "A_07_P000316" "ECs3998" "b3118"
"63" "A_07_P000323" "ECs3999" "b3119"
"64" "A_07_P000330" "ECs4000" "b3120"
"65" "A_07_P000331" "ECs4001" "b3121"
"66" "A_07_P000343" "ECs4002" "b3124"
"67" "A_07_P000346" "ECs4003" "b3125"
"68" "A_07_P000355" "ECs4004" "b3126"
"69" "A_07_P000370" "ECs4007" "b3129"
"70" "A_07_P000373" "ECs4008" "b3130"
"71" "A_07_P000379" "ECs4009" "b3131"
"72" "A_07_P000381" "ECs4010" "b3132"
"73" "A_07_P000390" "ECs4011" "b3133"
"74" "A_07_P000391" "ECs4012" "b3134"
"75" "A_07_P000396" "ECs4015" "b3135"
"76" "A_07_P000404" "ECs4016" "b3136"
"77" "A_07_P000407" "ECs4017" "b3137"
"78" "A_07_P000415" "ECs4018" "b3138"
"79" "A_07_P000439" "ECs4021" "b3143"
"80" "A_07_P000441" "ECs4022" "b3144"
"81" "A_07_P000449" "ECs4026" "b3145"
"82" "A_07_P000455" "ECs4027" "b3146"
"83" "A_07_P000458" "ECs4028" "b3147"
"84" "A_07_P000461" "ECs4029" "b3148"
"85" "A_07_P000466" "ECs4030" "b3149"
"86" "A_07_P000475" "ECs4031" "b3150"
"87" "A_07_P000479" "ECs4032" "b3151"
"88" "A_07_P000481" "ECs4033" "b3152"
"89" "A_07_P000486" "ECs4034" "b3153"
"90" "A_07_P000491" "ECs4035" "b3154"
"91" "A_07_P000496" "ECs4036" "b3155"
"92" "A_07_P000501" "ECs4037" "b3156"
